approve,id,label,kind,unit_id,era_id,region_primary,region_others,year_from,year_to,year_precision,exam_weight,prereq_ids,why_confusable,note
○,kc.orient.mesopotamia_dynasty_order,メソポタミアの支配者交替の順序,chronology,wh.2.1.1,1,メソポタミア・イラン,,-3000,-330,century,1.2,,統一者が何度も入れ替わるため、アッカド・バビロン第1王朝・ミタンニ・カッシート・アッシリアの前後関係が定着しない,
○,kc.orient.egypt_kingdom_periods,エジプト古王国・中王国・新王国の区別,distinction,wh.2.1.1,1,エジプト・北アフリカ,,-2700,-1100,century,1.3,,ピラミッド建設・ヒクソス侵入・アマルナ改革がどの王国の出来事かを取り違える,
○,kc.orient.assyria_vs_achaemenid_rule,アッシリアとアケメネス朝の統治方法の違い,distinction,wh.2.1.1,1,メソポタミア・イラン,,-670,-330,century,1.5,,両者とも「オリエント統一」と教わるため、強制移住による強圧策と寛容策・サトラップ制の対比が問われる,
○,kc.orient.east_med_three_peoples,フェニキア人・アラム人・ヘブライ人の役割分担,distinction,wh.2.1.1,1,アナトリア・シリア,,-1200,-600,century,1.4,,同時期・近接地域の3民族で、海上交易／内陸中継／一神教という役割と文字の系統が混同される,
○,kc.orient.hammurabi_code_principle,ハンムラビ法典の同害復讐と身分差,fact,wh.2.1.1,1,メソポタミア・イラン,,-1792,-1750,exact,1.1,,「目には目を」だけを覚え、被害者の身分によって刑罰が異なるという点が抜ける,
○,kc.rome.christianity_official_steps,キリスト教公認から公会議までの順序,chronology,wh.2.1.3,1,南欧・地中海,アナトリア・シリア,313,451,exact,1.5,,公認・国教化・公会議が別の出来事であること、各公会議で排斥された説（アリウス派・ネストリウス派・単性論）との対応が崩れる,
○,kc.greece.polis_formation_causes,ポリスが成立し統一国家にならなかった要因,causal,wh.2.1.2,1,南欧・地中海,,-800,-500,century,1.2,,「なぜ小国分立のままだったか」を山がちな地形と植民市の建設から説明できない,
○,kc.greece.athens_democracy_steps,アテネ民主政の改革者と改革内容の順序,chronology,wh.2.1.2,1,南欧・地中海,,-621,-429,exact,1.6,,ドラコン・ソロン・ペイシストラトス・クレイステネス・ペリクレスと改革内容の対応が最頻出の失点。陶片追放はクレイステネス,
○,kc.greece.athens_vs_sparta,アテネとスパルタの政体・軍制・社会構造の違い,distinction,wh.2.1.2,1,南欧・地中海,,-700,-400,century,1.4,kc.greece.athens_democracy_steps,対比が定番。ヘイロータイとペリオイコイの身分の違い、リュクルゴスの制が問われる,
○,kc.greece.persian_war_to_peloponnesian,ペルシア戦争の勝利がペロポネソス戦争を招いた因果,causal,wh.2.1.2,1,南欧・地中海,メソポタミア・イラン,-500,-404,exact,1.5,kc.greece.athens_vs_sparta,「勝ったのに衰退した」流れを、デロス同盟の資金流用とアテネの帝国化から説明できない,
○,kc.greece.hellenistic_kingdoms_geo,ヘレニズム3王国の版図,geo,wh.2.1.2,1,アナトリア・シリア,エジプト・北アフリカ;南欧・地中海,-323,-30,exact,1.2,,アンティゴノス朝＝マケドニア、セレウコス朝＝シリア、プトレマイオス朝＝エジプトの対応が入れ替わる,
○,kc.rome.plebeian_rights_causes,重装歩兵としての従軍が平民の地位を高めた因果,causal,wh.2.1.3,1,南欧・地中海,,-494,-287,exact,1.3,,十二表法・リキニウス=セクスティウス法・ホルテンシウス法を暗記するだけで、なぜ譲歩が引き出せたのかを落とす,
○,kc.rome.gracchus_to_principate,共和政の崩壊から元首政の成立までの因果,causal,wh.2.1.3,1,南欧・地中海,,-133,-27,exact,1.6,kc.rome.plebeian_rights_causes,中小農民の没落・グラックス兄弟・内乱の1世紀・三頭政治と続く因果が長く、途中で順序が飛ぶ,
○,kc.rome.principate_vs_dominate,元首政と専制君主政の違い,distinction,wh.2.1.3,1,南欧・地中海,,-27,284,exact,1.4,kc.rome.gracchus_to_principate,どちらも「皇帝」で一括りにされ、アウグストゥスとディオクレティアヌスの統治原理の差が消える,
○,kc.india.indus_vs_aryan,インダス文明とアーリヤ人社会の断絶,distinction,wh.2.2.1,1,南アジア,,-2600,-600,century,1.3,,「古代インド」で一括りにされ、担い手も時期も異なること（都市計画・未解読文字／ヴェーダ・ヴァルナ）が見えない,
○,kc.india.varna_jati_structure,ヴァルナとジャーティの関係,fact,wh.2.2.1,1,南アジア,,-1000,0,century,1.3,kc.india.indus_vs_aryan,ヴァルナ（4身分）とカースト（ジャーティ＝職業集団）を同一のものとして覚えてしまう,
○,kc.india.new_religions_vs_brahmanism,仏教・ジャイナ教とバラモン教の対立点,distinction,wh.2.2.1,1,南アジア,,-500,-400,century,1.4,kc.india.varna_jati_structure,2つの新宗教の共通点（ヴァルナ否定・不殺生）と相違点（苦行の位置づけ）が整理されない,
○,kc.india.maurya_kushana_gupta,マウリヤ朝・クシャーナ朝・グプタ朝の宗教政策,distinction,wh.2.2.1,1,南アジア,,-317,550,century,1.5,,アショーカ王＝仏教保護、カニシカ王＝大乗仏教、グプタ朝＝ヒンドゥー教の定着という対応が入れ替わる,
○,kc.india.mahayana_vs_theravada,大乗仏教と上座部仏教の教義と伝播経路,distinction,wh.2.2.1,1,南アジア,中央アジア;東南アジア,0,500,century,1.5,kc.india.new_religions_vs_brahmanism,北伝／南伝の経路と、到達した地域（東アジア／東南アジア）が逆になる,
○,kc.sea.indianization_causes,季節風交易がインド文化の流入を生んだ因果,causal,wh.2.2.2,1,東南アジア,南アジア,100,800,century,1.1,,東南アジアの「インド化」が軍事的征服ではなく交易を通じた受容であることを押さえていない,
○,kc.sea.port_polities_geo,扶南・チャンパー・シュリーヴィジャヤ・アンコールの位置,geo,wh.2.2.2,1,東南アジア,,100,1400,century,1.2,kc.sea.indianization_causes,港市国家の地理比定が定番。メコン下流／ベトナム中部／スマトラ／カンボジアの対応,
○,kc.sea.angkor_and_pagan,アンコール朝とパガン朝の信仰した宗教,fact,wh.2.2.2,1,東南アジア,,849,1431,century,1.0,kc.sea.port_polities_geo,遺跡名・王朝名・宗教（ヒンドゥー教から上座部仏教への転換／上座部仏教）の3つの対応が崩れる,
○,kc.china.fengjian_vs_junxian,周の封建制と秦の郡県制の違い,distinction,wh.2.3.1,1,中国,,-1046,-206,century,1.6,,「封建」が中国とヨーロッパで意味が異なることも含めて頻出。血縁に基づくか官僚を派遣するかの差,
○,kc.china.hundred_schools_positions,諸子百家の学派と主張の対応,distinction,wh.2.3.1,1,中国,,-550,-230,century,1.4,,孔子・孟子・荀子・韓非・老子・荘子・墨子と、儒家・法家・道家・墨家および性善説／性悪説の対応が崩れる,
