approve,id,label,aliases,era_id,note
,pe.hammurabi,ハンムラビ,ハンムラピ,1,バビロン第1王朝第6代王。法典の制定者
,pe.cyrus2,キュロス2世,キュロス大王,1,アケメネス朝の建国者
,pe.darius1,ダレイオス1世,ダリウス1世,1,アケメネス朝の最大版図。サトラップ制
,pe.alexander,アレクサンドロス大王,アレクサンドロス3世;アレクサンダー大王,1,マケドニア王。東方遠征
,pe.ashoka,アショーカ王,アショカ王;阿育王,1,マウリヤ朝第3代。ダルマによる統治
,pe.kanishka,カニシカ王,迦膩色迦王,1,クシャーナ朝。仏教保護
,pe.qin_shi_huang,始皇帝,秦王政;嬴政,1,秦の統一。郡県制・焚書坑儒
,pe.liu_bang,劉邦,高祖;漢高祖,1,前漢の建国者。郡国制
,pe.wudi_han,武帝,漢の武帝,1,前漢。儒学の官学化・張騫派遣・塩鉄専売
,pe.wang_mang,王莽,,1,新の建国者。周制への復古
,pe.pericles,ペリクレス,,1,アテネ民主政の完成期の指導者
,pe.solon,ソロン,,1,アテネの財産政治。負債の帳消し
,pe.cleisthenes,クレイステネス,,1,デーモス再編と陶片追放
,pe.caesar,カエサル,ユリウス・カエサル;シーザー,1,共和政末期の独裁官
,pe.augustus,アウグストゥス,オクタウィアヌス,1,元首政（プリンキパトゥス）の開始
,pe.diocletianus,ディオクレティアヌス,,1,専制君主政（ドミナトゥス）・四帝分治
,pe.constantinus1,コンスタンティヌス1世,コンスタンティヌス大帝,1,ミラノ勅令・ニケーア公会議・遷都
,pe.theodosius1,テオドシウス1世,,1,キリスト教の国教化・帝国の東西分割
,pe.justinianus1,ユスティニアヌス1世,ユスティニアヌス大帝,1,ローマ法大全・地中海再征服
,pe.muhammad,ムハンマド,マホメット,1,イスラーム教の開祖。ヒジュラ
,pe.harun_al_rashid,ハールーン・アッラシード,,1,アッバース朝の最盛期
,pe.charlemagne,カール大帝,シャルルマーニュ;カロルス大帝,1,フランク王国。西ローマ皇帝戴冠
,pe.otto1,オットー1世,オットー大帝,1,神聖ローマ帝国の初代皇帝
,pe.gregory7,グレゴリウス7世,,1,叙任権闘争。カノッサの屈辱
,pe.innocent3,インノケンティウス3世,,1,教皇権の絶頂
,pe.taizong_tang,太宗,李世民,1,唐の貞観の治
,pe.xuanzong_tang,玄宗,,1,唐の開元の治と安史の乱
,pe.wu_zetian,則天武后,武則天,1,唐を中断し周を建てた
,pe.kublai,フビライ,クビライ;忽必烈,1,元の建国。大都遷都
,pe.chinggis,チンギス・ハン,ジンギス・カン;成吉思汗,1,モンゴル帝国の建国
,pe.zhu_yuanzhang,朱元璋,洪武帝;太祖,1,明の建国。里甲制・六諭
,pe.yongle,永楽帝,成祖,1,明。北京遷都・鄭和の南海遠征
,pe.zheng_he,鄭和,,1,南海遠征の指揮
,pe.kangxi,康熙帝,,2,清。三藩の乱平定・ネルチンスク条約
